State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pullutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2003,Parts per million,Events Inclucded,3631,100,153,153,286,41,0,0,Certified,26,0.065196,0.01299,0.123,7/11/2003 13:00,0.12,7/12/2003 13:00,0.093,7/21/2003 12:00,0.088,7/10/2003 16:00,0.12,0.088,0.086,0.081,0.073,0.063,0.05,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2003,Parts per million,Events Excluded,3345,100,153,153,0,41,0,0,Certified,24,0.063709,0.011088,0.093,7/21/2003 12:00,0.088,7/20/2003 11:00,0.086,7/17/2003 12:00,0.086,7/22/2003 12:00,0.088,0.086,0.085,0.078,0.071,0.061,0.045,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2003,Parts per million,Concurred Events Excluded,3631,100,153,153,286,41,0,0,Certified,26,0.065196,0.01299,0.123,7/11/2003 13:00,0.12,7/12/2003 13:00,0.093,7/21/2003 12:00,0.088,7/10/2003 16:00,0.12,0.088,0.086,0.081,0.073,0.063,0.05,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2003,Parts per million,Events Inclucded,3662,99,152,153,0,0,2,2,Certified,0,0.058224,0.010305,0.099,7/11/2003 10:00,0.085,7/12/2003 9:00,0.082,7/21/2003 10:00,0.077,8/19/2003 10:00,0.085,0.077,0.074,0.072,0.065,0.058,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2003,Parts per million,Concurred Events Excluded,3662,99,152,153,0,0,2,2,Certified,0,0.058224,0.010305,0.099,7/11/2003 10:00,0.085,7/12/2003 9:00,0.082,7/21/2003 10:00,0.077,8/19/2003 10:00,0.085,0.077,0.074,0.072,0.065,0.058,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2003,Parts per million,Events Excluded,3395,99,152,153,0,0,0,0,Certified,0,0.057098,0.009537,0.082,7/21/2003 10:00,0.076,7/19/2003 10:00,0.076,7/24/2003 9:00,0.075,7/20/2003 9:00,0.076,0.075,0.073,0.07,0.064,0.056,0.043,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2003,Parts per million,Events Inclucded,3662,99,152,153,0,0,6,6,Certified,0,0.058224,0.010305,0.099,7/11/2003 10:00,0.085,7/12/2003 9:00,0.082,7/21/2003 10:00,0.077,8/19/2003 10:00,0.085,0.077,0.074,0.072,0.065,0.058,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2003,Parts per million,Events Excluded,3395,99,152,153,0,0,3,3,Certified,0,0.057098,0.009537,0.082,7/21/2003 10:00,0.076,7/19/2003 10:00,0.076,7/24/2003 9:00,0.075,7/20/2003 9:00,0.076,0.075,0.073,0.07,0.064,0.056,0.043,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2003,Parts per million,Concurred Events Excluded,3662,99,152,153,0,0,6,6,Certified,0,0.058224,0.010305,0.099,7/11/2003 10:00,0.085,7/12/2003 9:00,0.082,7/21/2003 10:00,0.077,8/19/2003 10:00,0.085,0.077,0.074,0.072,0.065,0.058,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2003,Knots,No Events,8725,100,363,365,0,35,,,Certification not required,6,4.914292,3.290863,23,10/2/2003 22:00,22.8,4/2/2003 3:00,22.3,4/2/2003 4:00,21.5,4/2/2003 5:00,15.3,13.7,11.5,9.6,6.6,3.8,1.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",3/6/2010 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
